bloomberg_ticker,yahoo,data_provider,signals_ticker
RCL TB,,eodhd,RCL.BK
UGPA3 BZ,UGPA3.SA,eodhd,UGPA3.SA
ENFC US,,eodhd,ENFC.US
UTS CN,,eodhd,UTS.TO
KAR AU,KAR.AX,eodhd,KAR.AU
HURN US,HURN,eodhd,HURN.US
LEN US,LEN,eodhd,LEN.US
3106 JP,,yahoo,
GEVA US,,eodhd,GEVA.US
286 HK,,eodhd,0286.HK
KPJ MK,,eodhd,5878.KLSE
GRT LN,,eodhd,GRT.LSE
PRK US,PRK,eodhd,PRK.US
SMLS3 BZ,,eodhd,SMLS3.SA
UBXN SW,UBXN.SW,eodhd,UBXN.SW
CCAP GR,,eodhd,CCAP.XETRA
GGL SP,,eodhd,GGL.SG
AT1 GR,AT1.DE,eodhd,AT1.XETRA
GAN US,,eodhd,GAN.US
NXG LN,,eodhd,NXG.LSE
KNEBV FH,KNEBV.HE,eodhd,KNEBV.HE
ROP US,ROP,eodhd,ROP.US
NHM SJ,,eodhd,NHM.JSE
9840 JP,,yahoo,
TXG CN,TXG.TO,eodhd,TXG.TO
KLXI US,,eodhd,KLXI.US
PCELL SS,PCELL.ST,eodhd,PCELL.ST
DORM US,DORM,eodhd,DORM.US
5196 JP,,yahoo,
SPG SJ,,eodhd,SPG.JSE
AXL US,AXL,eodhd,AXL.US
ELH SJ,,eodhd,ELH.JSE
NITE US,,eodhd,NITE.US
6796 JP,,yahoo,
BSS IM,,eodhd,BSS.MI
PRL SP,,eodhd,PRL.SG
ORL IT,,eodhd,ORL.TA
BJ US,BJ,eodhd,BJ.US
PLL US,PLL,eodhd,PLL.US
PGE PW,,eodhd,PGE.WAR
VTAE US,,eodhd,VTAE.US
1U1 GR,1U1.DE,eodhd,1U1.XETRA
PGN PW,,eodhd,PGN.WAR
KINDSDB SS,KIND-SDB.ST,eodhd,KIND-SDB.ST
AINV US,,eodhd,AINV.US
GEM IM,,eodhd,GEM.MI
A031980 KS,,eodhd,031980.KQ
TOPG MK,7113.KL,eodhd,7113.KLSE
AWA US,,eodhd,AWA.US
CTC/A CN,CTC-A.TO,eodhd,CTC-A.TO
KGH PW,,eodhd,KGH.WAR
PETQ US,PETQ,eodhd,PETQ.US
GEKTERNA GA,,eodhd,GEKTERNA.AT
4997 JP,,yahoo,
MBTN SW,MBTN.SW,eodhd,MBTN.SW
PCTY US,PCTY,eodhd,PCTY.US
VRUS US,,eodhd,VRUS.US
046140 KS,,eodhd,046140.KQ
ODL NO,ODL.OL,eodhd,ODL.OL
RLAY US,RLAY,eodhd,RLAY.US
BOKA NA,,eodhd,BOKA.AS
PGMN3 BZ,PGMN3.SA,eodhd,PGMN3.SA
BPY-U CN,,eodhd,BPY-UN.TO
EDLG US,,eodhd,EDLG.US
WFA AU,,eodhd,WFA.AU
SEEL US,,eodhd,SEEL.US
055550 KS,055550.KS,eodhd,055550.KQ
GFI FP,,eodhd,GFI.PA
TUMI US,,eodhd,TUMI.US
3095 TT,,eodhd,3095.TWO
MING NO,MING.OL,eodhd,MING.OL
BEXP US,,eodhd,BEXP.US
SMIN LN,SMIN.L,eodhd,SMIN.LSE
TIET11 BZ,,eodhd,TIET11.SA
CHKP US,CHKP,eodhd,CHKP.US
VVTV US,,eodhd,VVTV.US
BMEA US,,eodhd,BMEA.US
BUB AU,BUB.AX,eodhd,BUB.AU
PG IM,,eodhd,PG.MI
AC PM,,eodhd,AC.PSE
TNG FP,,eodhd,TNG.PA
383220 KS,383220.KS,eodhd,383220.KQ
5371 TT,,eodhd,5371.TW
DSH AU,,eodhd,DSH.AU
TOA US,,eodhd,TOA.US
TNH GR,,eodhd,TNH.XETRA
COA AU,,eodhd,COA.AU
BF/B US,BF-B,eodhd,BF-B.US
MX CN,MX.TO,eodhd,MX.TO
3141 JP,3141.T,yahoo,3141.T
UNIZ US,,eodhd,UNIZ.US
MTOR US,,eodhd,MTOR.US
JOUT US,,eodhd,JOUT.US
MSCI US,MSCI,eodhd,MSCI.US
036830 KS,,eodhd,036830.KQ
IBR SM,,eodhd,IBR.MC
AMCX US,AMCX,eodhd,AMCX.US
EBRO SM,EBRO.MC,eodhd,EBRO.MC
KRNY US,KRNY,eodhd,KRNY.US
ABSI US,ABSI,eodhd,ABSI.US
KSWS US,,eodhd,KSWS.US
LAT1V FH,,eodhd,LAT1V.HE
9684 JP,9684.T,yahoo,9684.T
AIRN US,,eodhd,AIRN.US
TLS AU,TLS.AX,eodhd,TLS.AU
ABI BB,ABI.BR,eodhd,ABI.BR
2455 TT,2455.TW,eodhd,2455.TW
HFWA US,HFWA,eodhd,HFWA.US
DRI US,DRI,eodhd,DRI.US
INTU LN,,eodhd,INTU.LSE
DWA US,,eodhd,DWA.US
JUP AU,,eodhd,JUP.AU
SF SS,SF.ST,eodhd,SF.ST
KVAER NO,,eodhd,KVAER.OL
TPW AU,TPW.AX,eodhd,TPW.AU
ESA US,,eodhd,ESA.US
7003 JP,,yahoo,
FTNT US,FTNT,eodhd,FTNT.US
UHR SW,UHR.SW,eodhd,UHR.SW
SIG AU,SIG.AX,eodhd,SIG.AU
WAVE NO,,eodhd,WAVE.OL
035720 KS,035720.KS,eodhd,035720.KQ
OCGN US,OCGN,eodhd,OCGN.US
LMC LN,,eodhd,LMC.LSE
LCII US,LCII,eodhd,LCII.US
8050 JP,8050.T,yahoo,8050.T
042700 KS,042700.KS,eodhd,042700.KQ
AMPE US,,eodhd,AMPE.US
CIT US,,eodhd,CIT.US
6706 TT,,eodhd,6706.TW
ANIM IM,ANIM.MI,eodhd,ANIM.MI
OPTS LN,,eodhd,OPTS.LSE
2204 TT,,eodhd,2204.TW
TRQ CN,TRQ.TO,eodhd,TRQ.TO
MGDL IT,,eodhd,MGDL.TA
CNPF PM,,eodhd,CNPF.PSE
OPTI BB,,eodhd,OPTI.BR
NTIQ US,,eodhd,NTIQ.US
ELM LN,ELM.L,eodhd,ELM.LSE
FBP US,FBP,eodhd,FBP.US
VCBI US,,eodhd,VCBI.US
ULGX US,,eodhd,ULGX.US
7970 JP,,yahoo,
TGZ CN,,eodhd,TGZ.TO
FRM US,,eodhd,FRM.US
SURW US,,eodhd,SURW.US
MAHB MK,5014.KL,eodhd,5014.KLSE
CDN US,,eodhd,CDN.US
900140 KS,,eodhd,900140.KQ
975 HK,,eodhd,0975.HK
123 HK,0123.HK,eodhd,0123.HK
IGI US,,eodhd,IGI.US
CPA/U CN,,eodhd,CPA/U.TO
9910 TT,9910.TW,eodhd,9910.TW
CMBN LN,,eodhd,CMBN.LSE
LMR LN,,eodhd,LMR.LSE
2398 JP,,yahoo,
CQO AU,,eodhd,CQO.AU
HUSA US,,eodhd,HUSA.US
MEE US,,eodhd,MEE.US
HAS LN,HAS.L,eodhd,HAS.LSE
EGP IM,,eodhd,EGP.MI
CBA AU,CBA.AX,eodhd,CBA.AU
FSLR US,FSLR,eodhd,FSLR.US
4968 TT,4968.TW,eodhd,4968.TW
1458 HK,1458.HK,eodhd,1458.HK
SCOR US,,eodhd,SCOR.US
IDL AU,,eodhd,IDL.AU
TLV1V FH,,eodhd,TLV1V.HE
AMBEA SS,AMBEA.ST,eodhd,AMBEA.ST
270 HK,0270.HK,eodhd,0270.HK
CLI LN,CLI.L,eodhd,CLI.LSE
